CMDLINE python ./analytickit/crypto/txn_anz.py
MEM 125.933594 1694611800.8818
MEM 125.933594 1694611800.9833
MEM 125.933594 1694611801.0853
MEM 125.933594 1694611801.1870
MEM 125.933594 1694611801.2881
MEM 125.933594 1694611801.3901
MEM 125.933594 1694611801.4914
MEM 125.933594 1694611801.5917
MEM 125.933594 1694611801.6926
MEM 125.933594 1694611801.7942
MEM 125.933594 1694611801.8953
MEM 125.933594 1694611801.9967
MEM 125.933594 1694611802.0983
MEM 125.933594 1694611802.1991
MEM 125.933594 1694611802.3004
MEM 125.933594 1694611802.4022
MEM 125.933594 1694611802.5038
MEM 125.933594 1694611802.6050
MEM 125.933594 1694611802.7067
MEM 125.933594 1694611802.8100
MEM 125.933594 1694611802.9109
MEM 125.933594 1694611803.0118
MEM 125.933594 1694611803.1132
MEM 125.933594 1694611803.2138
MEM 125.933594 1694611803.3147
MEM 125.933594 1694611803.4157
MEM 125.933594 1694611803.5163
MEM 125.933594 1694611803.6176
MEM 125.933594 1694611803.7185
MEM 125.933594 1694611803.8222
MEM 125.933594 1694611803.9232
MEM 125.933594 1694611804.0241
MEM 125.933594 1694611804.1248
MEM 125.933594 1694611804.2254
MEM 125.933594 1694611804.3264
MEM 125.933594 1694611804.4269
MEM 125.933594 1694611804.5276
MEM 125.933594 1694611804.6293
MEM 125.933594 1694611804.7302
MEM 125.933594 1694611804.8311
MEM 125.933594 1694611804.9323
MEM 125.933594 1694611805.0334
MEM 125.933594 1694611805.1349
MEM 125.933594 1694611805.2359
MEM 125.933594 1694611805.3372
MEM 125.933594 1694611805.4380
MEM 125.933594 1694611805.5391
MEM 125.933594 1694611805.6399
MEM 125.933594 1694611805.7417
MEM 125.933594 1694611805.8437
MEM 125.933594 1694611805.9444
MEM 125.933594 1694611806.0450
MEM 125.933594 1694611806.1460
MEM 125.933594 1694611806.2475
MEM 125.933594 1694611806.3488
MEM 125.933594 1694611806.4496
MEM 125.933594 1694611806.5519
MEM 125.933594 1694611806.6527
MEM 125.933594 1694611806.7560
MEM 125.933594 1694611806.8578
MEM 125.933594 1694611806.9585
MEM 125.933594 1694611807.0596
MEM 125.933594 1694611807.1609
MEM 125.933594 1694611807.2626
MEM 125.933594 1694611807.3635
MEM 125.933594 1694611807.4651
MEM 125.933594 1694611807.5663
MEM 125.933594 1694611807.6667
MEM 125.933594 1694611807.7678
MEM 125.933594 1694611807.8685
MEM 125.933594 1694611807.9701
MEM 125.933594 1694611808.0708
MEM 125.933594 1694611808.1721
MEM 125.933594 1694611808.2724
MEM 125.933594 1694611808.3735
MEM 125.933594 1694611808.4746
MEM 125.933594 1694611808.5754
